ID,DOI,Link,Creative Commons,"Retracted/Corrected (as of July 21, 2021)","Retraction/Correction DOI (as of July 21, 2021)",Retraction/Correction Reason,"False Alarm Test (as of July 21, 2021)",Content Extraction Annotation,Image Ranking Annotation,Panel Segmentation Annotation,Copy-Move Detection Annotation,Provenance Analysis Annotation
30,10.1371/journal.pone.0028335,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0028335,Yes,Yes,10.1371/annotation/7a1b01e4-b894-40ef-9c31-584e9c24ee0a,Wrong Author Information,Yes,No,No,No,No,No
31,10.1002/cne.24080,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5054943,Yes,Yes,10.1002/cne.24130,Wrong Author Information,Yes,No,No,No,No,No
32,10.2337/db08-0551,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2661585,Yes,No,-,-,Yes,No,No,No,No,No
33,10.1371/journal.pone.0096872,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0096872,Yes,No,-,-,Yes,No,No,No,No,No
34,10.1364/BOE.2.002372,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3149535,Yes,No,-,-,Yes,No,No,No,No,No
35,10.1083/jcb.200510002,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2063650,Yes,No,-,-,Yes,No,No,No,No,No
36,10.2147/IJN.S102752,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876942,Yes,No,-,-,Yes,No,No,No,No,No
37,10.1038/srep04733,https://www.nature.com/articles/srep04733,Yes,No,-,-,Yes,No,No,No,No,No
38,10.1371/journal.pone.0053507,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0053507,Yes,No,-,-,Yes,No,No,No,No,No
39,10.1186/1477-7819-10-45,https://wjso.biomedcentral.com/articles/10.1186/1477-7819-10-45,Yes,No,-,-,Yes,No,No,No,No,No
40,10.1098/rsos.140440,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4632572,Yes,No,-,-,Yes,No,No,No,No,No
41,10.1364/OE.19.014160,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3178895,Yes,No,-,-,Yes,No,No,No,No,No
42,10.1155/2011/693853,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3200296,Yes,No,-,-,Yes,No,No,No,No,No
43,10.3390/s130709248,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3758647,Yes,No,-,-,Yes,No,No,No,No,No
44,10.1242/bio.20122899,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3575654,Yes,No,-,-,Yes,No,No,No,No,No
45,10.1371/journal.pone.0172788,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0172788,Yes,No,-,-,Yes,No,No,No,No,No
46,10.1371/journal.pone.0019931,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0019931,Yes,No,-,-,Yes,No,No,No,No,No
47,10.15252/embj.201592695,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4741301,Yes,No,-,-,Yes,No,No,No,No,No
48,10.1091/mbc.E12-07-0544,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3667717,Yes,No,-,-,Yes,No,No,No,No,No
49,10.1371/journal.pone.0002262,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0002262,Yes,No,-,-,Yes,No,No,No,No,No
50,10.1083/jcb.200506199,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2063837,Yes,No,-,-,Yes,No,No,No,No,No
51,10.1016/j.immuni.2015.05.024,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518498,Yes,No,-,-,Yes,No,No,No,No,No
52,10.1371/journal.pone.0144508,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0144508,Yes,No,-,-,Yes,No,No,No,No,No
53,10.1371/journal.pone.0138789,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0138789,Yes,No,-,-,Yes,No,No,No,No,No
54,10.18632/oncotarget.2869,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4414159,Yes,No,-,-,Yes,No,No,No,No,No
55,10.1186/1476-4598-13-170,https://molecular-cancer.biomedcentral.com/articles/10.1186/1476-4598-13-170,Yes,No,-,-,Yes,No,No,No,No,No
56,10.1371/journal.pone.0100099,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0100099,Yes,No,-,-,Yes,No,No,No,No,No
57,10.1038/srep34064,https://www.nature.com/articles/srep34064,Yes,No,-,-,Yes,No,No,No,No,No
58,10.1186/1471-2121-10-72,https://bmcmolcellbiol.biomedcentral.com/articles/10.1186/1471-2121-10-72,Yes,No,-,-,Yes,No,No,No,No,No
59,10.1111/nph.12721,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235307,Yes,No,-,-,Yes,No,No,No,No,No
60,10.1038/cddis.2016.134,https://www.nature.com/articles/cddis2016134,Yes,No,-,-,Yes,No,No,No,No,No
61,10.1371/journal.pone.0053051,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0053051,Yes,No,-,-,Yes,No,No,No,No,No
62,10.1083/jcb.201210038,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3613695,Yes,No,-,-,Yes,No,No,No,No,No
63,10.18632/aging.100168,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2933888,Yes,No,-,-,Yes,No,No,No,No,No
64,10.3390/toxins8110321,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5127118,Yes,No,-,-,Yes,No,No,No,No,No
65,10.1091/mbc.E11-01-0084,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3093324,Yes,No,-,-,Yes,No,No,No,No,No
66,10.1042/BJ20101734,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3062854,Yes,No,-,-,Yes,No,No,No,No,No
67,10.1093/gbe/evq051,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2940327,Yes,No,-,-,Yes,No,No,No,No,No
68,10.1371/journal.pone.0095630,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0095630,Yes,No,-,-,Yes,No,No,No,No,No
69,10.1371/journal.pone.0136362,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0136362,Yes,No,-,-,Yes,No,No,No,No,No
70,10.7554/eLife.06068,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4384640,Yes,No,-,-,Yes,No,No,No,No,No
71,10.1038/ncb2068,https://www.nature.com/articles/ncb2068,Yes,No,-,-,Yes,No,No,No,No,No
72,10.1371/journal.pone.0109523,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0109523,Yes,No,-,-,Yes,No,No,No,No,No
73,10.1038/srep25326,https://www.nature.com/articles/srep25326,Yes,No,-,-,Yes,No,No,No,No,No
74,10.1038/srep45961,https://www.nature.com/articles/srep45961,Yes,No,-,-,Yes,No,No,No,No,No
75,10.1038/ncomms6472,https://www.nature.com/articles/ncomms6472,Yes,No,-,-,Yes,No,No,No,No,No
76,10.1242/bio.2012778,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3509441,Yes,No,-,-,Yes,No,No,No,No,No
77,10.1371/journal.ppat.1006262,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1006262,Yes,No,-,-,Yes,No,No,No,No,No
78,10.1371/journal.pone.0091463,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091463,Yes,No,-,-,Yes,No,No,No,No,No
79,10.1038/srep41772,https://www.nature.com/articles/srep41772,Yes,No,-,-,Yes,No,No,No,No,No
80,10.1371/journal.ppat.1001286,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1001286,Yes,No,-,-,Yes,No,No,No,No,No
81,10.18632/oncotarget.7213,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4891124,Yes,No,-,-,Yes,No,No,No,No,No
82,10.1038/onc.2009.118,https://www.nature.com/articles/onc2009118,Yes,No,-,-,Yes,No,No,No,No,No
83,10.18632/oncotarget.6233,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4811457,Yes,No,-,-,Yes,No,No,No,No,No
84,10.1155/2013/191375,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3600140,Yes,No,-,-,Yes,No,No,No,No,No
85,10.1091/mbc.E12-04-0329,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3442411,Yes,Yes,10.1091/mboc.23.20.4142,Wrong Author Information,Yes,No,No,No,No,No
86,10.1186/1471-2407-9-448,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-9-448,Yes,No,-,-,Yes,No,No,No,No,No
87,10.1186/bcr3631,https://breast-cancer-research.biomedcentral.com/articles/10.1186/bcr3631,Yes,No,-,-,Yes,No,No,No,No,No
88,10.1371/journal.pone.0021234,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021234,Yes,No,-,-,Yes,No,No,No,No,No
89,10.1083/jcb.200605172,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2064261,Yes,No,-,-,Yes,No,No,No,No,No
90,10.1038/aps.2010.100,https://www.nature.com/articles/aps2010100,Yes,No,-,-,Yes,No,No,No,No,No
91,10.1371/journal.ppat.1004022,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1004022,Yes,No,-,-,Yes,No,No,No,No,No
92,10.1186/1747-1028-9-4,https://celldiv.biomedcentral.com/articles/10.1186/1747-1028-9-4,Yes,No,-,-,Yes,No,No,No,No,No
93,10.1186/1471-213X-12-3,https://bmcdevbiol.biomedcentral.com/articles/10.1186/1471-213X-12-3,Yes,No,-,-,Yes,No,No,No,No,No
94,10.3969/j.issn.1673-5374.2013.21.003,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4145902,Yes,No,-,-,Yes,No,No,No,No,No
95,10.1371/journal.pone.0049930,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0049930,Yes,No,-,-,Yes,No,No,No,No,No
96,10.1371/journal.pone.0062970,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062970,Yes,No,-,-,Yes,No,No,No,No,No
97,10.1038/nbt.3392,https://www.nature.com/articles/nbt.3392,Yes,No,-,-,Yes,No,No,No,No,No
98,10.1080/23328940.2016.1153360,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4964997,Yes,No,-,-,Yes,No,No,No,No,No
99,10.1084/jem.20041133,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2213059,Yes,No,-,-,Yes,No,No,No,No,No
100,10.1038/ncomms3976,https://www.nature.com/articles/ncomms3976,Yes,No,-,-,Yes,No,No,No,No,No
101,10.1038/mt.2015.11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4427870,Yes,No,-,-,Yes,No,No,No,No,No
102,10.1038/leu.2015.202,https://www.nature.com/articles/leu2015202,Yes,No,-,-,Yes,No,No,No,No,No
103,10.1038/srep23100,https://www.nature.com/articles/srep23100,Yes,No,-,-,Yes,No,No,No,No,No
104,10.1038/cddis.2016.334,https://www.nature.com/articles/cddis2016334,Yes,No,-,-,Yes,No,No,No,No,No
105,10.1186/1747-1028-8-11,https://celldiv.biomedcentral.com/articles/10.1186/1747-1028-8-11,Yes,No,-,-,Yes,No,No,No,No,No
106,10.1186/1471-2407-11-412,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-11-412,Yes,No,-,-,Yes,No,No,No,No,No
107,10.1186/1476-4598-9-26,https://molecular-cancer.biomedcentral.com/articles/10.1186/1476-4598-9-26,Yes,No,-,-,Yes,No,No,No,No,No
108,10.1371/journal.pone.0152321,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0152321,Yes,No,-,-,Yes,No,No,No,No,No
109,10.1155/2010/907371,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2846356,Yes,No,-,-,Yes,No,No,No,No,No
110,10.1016/j.bcp.2009.03.010,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2888050,Yes,No,-,-,Yes,No,No,No,No,No
111,10.1371/journal.pone.0165228,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0165228,Yes,No,-,-,Yes,No,No,No,No,No
112,10.1093/nar/gkt447,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3737549,Yes,No,-,-,Yes,No,No,No,No,No
113,10.1038/jid.2011.131,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3156848,Yes,No,-,-,Yes,No,No,No,No,No
114,10.1371/journal.pone.0005733,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0005733,Yes,No,-,-,Yes,No,No,No,No,No
115,10.1083/jcb.200907015,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2812517,Yes,No,-,-,Yes,No,No,No,No,No
116,10.1371/journal.pone.0016401,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016401,Yes,No,-,-,Yes,No,No,No,No,No
117,10.1155/2016/7432131,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4800091,Yes,No,-,-,Yes,No,No,No,No,No
118,10.1091/mbc.E16-08-0570,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5156545,Yes,No,-,-,Yes,No,No,No,No,No
119,10.1371/journal.pntd.0002481,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0002481,Yes,No,-,-,Yes,No,No,No,No,No
120,10.1083/jcb.200905070,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2733758,Yes,No,-,-,Yes,No,No,No,No,No
121,10.18632/oncotarget.6749,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826214,Yes,No,-,-,Yes,No,No,No,No,No
122,10.2147/IJN.S59302,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4077608,Yes,No,-,-,Yes,No,No,No,No,No
123,10.7554/eLife.11479,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4786432,Yes,No,-,-,Yes,No,No,No,No,No
124,10.1371/journal.pone.0069405,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0069405,Yes,No,-,-,Yes,No,No,No,No,No
125,10.1186/s12885-016-2118-3,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-016-2118-3,Yes,No,-,-,Yes,No,No,No,No,No
126,10.1016/j.bbamem.2011.06.007,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3161180,Yes,No,-,-,Yes,No,No,No,No,No
127,10.1038/bjc.1973.21,https://www.nature.com/articles/bjc197321,Yes,No,-,-,Yes,No,No,No,No,No
128,10.1083/jcb.147.4.831,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2156168,Yes,No,-,-,Yes,No,No,No,No,No
129,10.1083/jcb.200710107,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2213608,Yes,No,-,-,Yes,No,No,No,No,No
130,10.1091/mbc.E11-04-0332,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3204072,Yes,No,-,-,Yes,No,No,No,No,No
131,10.1016/j.ijpara.2006.11.016,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2424140,Yes,No,-,-,Yes,No,No,No,No,No
132,10.1371/journal.pone.0138076,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0138076,Yes,No,-,-,Yes,No,No,No,No,No
133,10.1289/ehp.85-1568322,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1568322,Yes,No,-,-,Yes,No,No,No,No,No
134,10.14202/vetworld.2015.1011-1014,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4774755,Yes,No,-,-,Yes,No,No,No,No,No
135,10.18632/oncotarget.7060,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4884933,Yes,No,-,-,Yes,No,No,No,No,No
136,10.1091/mbc.E13-05-0281,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4294675,Yes,No,-,-,Yes,No,No,No,No,No
137,10.1186/1477-3155-8-23,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/1477-3155-8-23,Yes,No,-,-,Yes,No,No,No,No,No
138,10.1186/ar4449,https://arthritis-research.biomedcentral.com/articles/10.1186/ar4449,Yes,No,-,-,Yes,No,No,No,No,No
139,10.1186/1471-2180-8-32,https://bmcmicrobiol.biomedcentral.com/articles/10.1186/1471-2180-8-32,Yes,No,-,-,Yes,No,No,No,No,No
140,10.1007/s00018-010-0434-3,https://link.springer.com/article/10.1007/s00018-010-0434-3,Yes,No,-,-,Yes,No,No,No,No,No
141,10.1038/ncomms4175,https://www.nature.com/articles/ncomms4175,Yes,No,-,-,Yes,No,No,No,No,No
142,10.3389/fpls.2013.00283,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3724051,Yes,No,-,-,Yes,No,No,No,No,No
143,10.1155/2015/289750,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4398933,Yes,No,-,-,Yes,No,No,No,No,No
144,10.1590/s1517-83822009000300026,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3768546,Yes,No,-,-,Yes,No,No,No,No,No
145,10.1080/13102818.2014.926679,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4684050,Yes,No,-,-,Yes,No,No,No,No,No
146,10.1186/1477-3155-9-27,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/1477-3155-9-27,Yes,No,-,-,Yes,No,No,No,No,No
147,10.1093/nar/gku1189,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4333370,Yes,No,-,-,Yes,No,No,No,No,No
148,10.1038/gt.2012.47,https://www.nature.com/articles/gt201247,Yes,No,-,-,Yes,No,No,No,No,No
149,10.1111/j.1742-4658.2008.06862.x,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2702495,Yes,No,-,-,Yes,No,No,No,No,No
150,10.1186/1476-0711-5-29,https://ann-clinmicrob.biomedcentral.com/articles/10.1186/1476-0711-5-29,Yes,No,-,-,Yes,No,No,No,No,No
151,10.1002/phy2.18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3831914,Yes,No,-,-,Yes,No,No,No,No,No
152,10.3762/bjoc.10.104,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4077517,Yes,No,-,-,Yes,No,No,No,No,No
153,10.1093/nar/gkv1183,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4756816,Yes,No,-,-,Yes,No,No,No,No,No
154,10.1038/srep38676,https://www.nature.com/articles/srep38676,Yes,No,-,-,Yes,No,No,No,No,No
155,10.1186/2052-336X-12-83,https://link.springer.com/article/10.1186%2F2052-336X-12-83,Yes,No,-,-,Yes,No,No,No,No,No
156,10.1371/journal.pone.0004924,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0004924,Yes,Yes,10.1371/annotation/6359a6c2-90f8-4f7e-ad86-5bac5d62a7fe,Image Error,Yes,No,No,No,No,No
157,10.1590/1678-4685-GMB-2016-0091,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5127161,Yes,No,-,-,Yes,No,No,No,No,No
158,10.1371/journal.pone.0161591,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161591,Yes,No,-,-,Yes,No,No,No,No,No
159,10.4103/0971-5916.92643,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3284105,Yes,No,-,-,Yes,No,No,No,No,No
160,10.2174/1874285801610010188,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5204062,Yes,No,-,-,Yes,No,No,No,No,No
161,10.3390/ijms18030676,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5372686,Yes,No,-,-,Yes,No,No,No,No,No
162,10.1186/1475-2875-2-47,https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-2-47,Yes,No,-,-,Yes,No,No,No,No,No
163,10.1186/1471-2091-9-23,https://bmcbiochem.biomedcentral.com/articles/10.1186/1471-2091-9-23,Yes,No,-,-,Yes,No,No,No,No,No
164,10.4103/0301-4738.182943,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4901849,Yes,No,-,-,Yes,No,No,No,No,No
165,10.1093/nar/gkm584,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2018632,Yes,No,-,-,Yes,No,No,No,No,No
166,10.1186/1471-2164-9-139,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-9-139,Yes,No,-,-,Yes,No,No,No,No,No
167,10.1007/s12024-009-9119-3,https://link.springer.com/article/10.1007%2Fs12024-009-9119-3,Yes,No,-,-,Yes,No,No,No,No,No
168,10.1093/nar/gks674,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3467069,Yes,No,-,-,Yes,No,No,No,No,No
169,10.1084/jem.190.1.9,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2195564,Yes,No,-,-,Yes,No,No,No,No,No
170,10.1155/2014/196712,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4058683,Yes,Yes,10.1093/dnares/dsu037,Text Error,Yes,No,No,No,No,No
171,10.1093/dnares/dst032,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3859325,Yes,No,-,-,Yes,No,No,No,No,No
172,10.1007/s11095-010-0288-2,https://link.springer.com/article/10.1007%2Fs11095-010-0288-2,Yes,No,-,-,Yes,No,No,No,No,No
173,10.1371/journal.pone.0086767,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0086767,Yes,No,-,-,Yes,No,No,No,No,No
174,10.3346/jkms.2007.22.5.820,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2693847,Yes,No,-,-,Yes,No,No,No,No,No
175,10.1371/journal.pone.0085767,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0085767,Yes,No,-,-,Yes,No,No,No,No,No
176,10.1186/s13045-017-0461-8,https://jhoonline.biomedcentral.com/articles/10.1186/s13045-017-0461-8,Yes,No,-,-,Yes,No,No,No,No,No
177,10.1093/jxb/ern258,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2639019,Yes,No,-,-,Yes,No,No,No,No,No
178,10.1093/jxb/erp075,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682497,Yes,No,-,-,Yes,No,No,No,No,No
179,10.1186/s12907-017-0042-3,https://bmcclinpathol.biomedcentral.com/articles/10.1186/s12907-017-0042-3,Yes,No,-,-,Yes,No,No,No,No,No
180,10.1186/1756-9966-28-82,https://jeccr.biomedcentral.com/articles/10.1186/1756-9966-28-82,Yes,No,-,-,Yes,No,No,No,No,No
181,10.1093/jxb/ern082,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2413280,Yes,No,-,-,Yes,No,No,No,No,No
182,10.1093/hmg/ddt383,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3842181,Yes,No,-,-,Yes,No,No,No,No,No
183,10.1038/bjc.1994.407,https://www.nature.com/articles/bjc1994407,Yes,No,-,-,Yes,No,No,No,No,No
184,10.1371/journal.ppat.0010004,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.0010004,Yes,No,-,-,Yes,No,No,No,No,No
185,10.1186/s12896-014-0106-8,https://bmcbiotechnol.biomedcentral.com/articles/10.1186/s12896-014-0106-8,Yes,No,-,-,Yes,No,No,No,No,No
186,10.1099/mic.0.2006/000513-0,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2885613,Yes,No,-,-,Yes,No,No,No,No,No
187,10.1084/jem.190.12.1801,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2195720,Yes,No,-,-,Yes,No,No,No,No,No
188,10.1093/jxb/erq149,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2905195,Yes,No,-,-,Yes,No,No,No,No,No
189,10.1371/journal.pone.0069821,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0069821,Yes,No,-,-,Yes,No,No,No,No,No
